-3.8894,-7.8322,9.8208,0.47498,1
1.518,5.6946,0.094818,-0.026738,0
-2.9662,-10.3257,8.784,-2.1138,1
3.6575,7.2797,-2.2692,-1.144,0
3.1887,-3.4143,2.7742,-0.2026,0
-1.803,11.8818,2.0458,-5.2728,0
1.5904,2.2121,-3.1183,-0.11725,1
-1.3274,9.498,2.4408,-5.2689,0
-0.55355,-7.9233,6.7156,0.74394,1
1.0135,8.4551,-1.672,-2.0815,0
3.9433,2.5017,1.5215,0.903,0
-3.9594,4.0289,-0.35845,-3.8957,1
3.2303,7.8384,-3.5348,-1.2151,0
2.6799,3.1349,0.34073,0.58489,0
-0.75793,2.5349,-3.0464,-1.2629,1
3.5829,1.4423,1.0219,1.4008,0
3.2032,5.7588,-0.75345,-0.61251,0
2.805,0.57732,1.3424,1.2133,0
0.93611,8.6413,-1.6351,-1.3043,0
-1.5951,-6.572,4.7689,-0.94354,1
-3.8953,4.0392,-0.3019,-2.1836,1
-2.0891,-0.48422,1.704,1.7435,1
1.6849,8.7489,-1.2641,-1.3858,0
3.9922,-4.4676,3.7304,-0.1095,0
3.3756,-4.0951,4.367,1.0698,0
0.26637,0.73252,-0.67891,0.03533,1
-2.6864,-0.097265,0.61663,0.061192,1
-4.4018,-12.9371,15.6559,-1.6806,1
-1.6637,3.2881,-2.2701,-2.2224,1
2.0597,-0.99326,5.2119,-0.29312,0
4.0405,0.51524,1.0279,1.106,0
-2.9146,4.0537,-0.45699,-4.0327,1
3.82,10.9279,-4.0112,-5.0284,0
-2.8619,4.5193,-0.58123,-4.2629,1
-1.6029,-0.38903,1.62,1.9103,1
1.3566,4.2358,2.1341,0.3211,0
1.6408,4.2503,-4.9023,-2.6621,1
-1.7589,-6.4624,8.4773,0.31981,1
2.3066,3.5364,0.57551,0.41938,0
0.63655,5.2022,-5.2159,-6.1211,1
1.8967,-2.5163,2.8093,-0.79742,0
3.8999,1.734,1.6011,0.96765,0
0.57461,10.1105,-1.6917,-4.3922,0
-2.5346,-0.77392,3.3602,0.00171,1
-7.0364,9.2931,0.16594,-4.5396,1
4.1736,3.3336,-1.4244,0.60429,0
-0.91318,-2.0113,-0.19565,0.066365,1
2.483,6.6155,-0.79287,-0.90863,0
4.8272,3.0687,0.68604,0.80731,0
-3.1128,-6.841,10.7402,-1.0172,1
